GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB018269	292.3323385	649.6305542	169.3688971	784.76236	637.6942333	1785.285355	365.916531	1027.722312	654.6892898	489.3503811	362.4684527	227.6104231	36.48294052	197.4279149	1959.044594
AB018304	1559.384544	2340.066709	85.45929927	1690.151879	1272.824527	697.4574027	674.7917773	1270.34971	1237.426024	629.2201344	421.8769824	452.117654	583.1324912	959.1785869	730.4705624
AB018323	107.613527	12.24654954	58.30086112	47.6867402	95.76231903	14.15878388	35.83519677	126.9606604	80.22687832	61.74629464	44.27805891	23.24811905	592.0169591	171.1904781	35.9518567
AB018344	47.84317256	765.5330455	107.1150252	757.5814623	369.6117869	317.1890496	859.6019572	1126.352426	542.6541002	220.5462666	101.9848254	303.2698418	253.2426024	333.3357717	962.5958514
AB019254	1451.463598	131.243893	375.3351146	230.7089979	925.9682816	695.7469516	1215.234413	927.5897655	414.5163325	396.9383518	531.5472506	121.0595928	90.98472816	162.8900699	575.578523
AB019489	2932.768774	646.6144714	37.55486576	358.8118816	3652.609332	61.41926293	1987.670331	1587.929687	658.2898417	121.9637115	419.7575507	590.8042875	739.0911894	23.27089284	576.6346472
AB019490	2259.146794	1380.528679	1518.068483	672.2336623	3406.480455	1974.719342	2055.433029	1995.305724	2251.025208	1346.847043	3148.377085	1979.762551	2587.221713	562.2614729	1416.722978
AB019491	15.77509923	94.03236697	62.20318712	409.544097	2563.69635	209.2765387	1266.955631	1316.130122	916.9640937	709.7336026	152.9790179	426.5604672	469.5740384	52.76422624	416.3191389
AB019542	1663.238977	69.44679476	538.9127151	1529.971505	181.4107935	2285.678466	1921.612676	1435.537034	646.7709131	2269.586838	1164.540877	1097.708292	986.937968	508.2172541	1231.953643
AB020627	78.84856579	20.48751937	16.1786632	14.15682083	23.03040365	29.22857279	15.95222793	29.76048092	41.07686986	17.79961513	142.038406	126.8996506	71.99414777	21.24164941	35.9518567
AB020633	1771.13434	1062.150429	443.4905074	360.8293644	598.8903494	1513.253551	564.0788243	762.1001119	757.9538869	1755.568999	1544.701478	2016.754407	1199.9785	2225.657663	871.185853
AB020644	45.84067862	28.2364467	66.69029196	11.27551151	11.64804999	55.9278865	84.63740761	17.84656254	97.84648454	93.77703101	95.30099493	54.65473541	116.8079711	77.50811102	16.51910132
AB020648	3008.608266	2951.410684	3614.335849	2346.145204	4148.800231	3128.092928	1766.846727	5738.229556	2063.712437	2346.005653	2116.205118	4136.713377	2878.16007	2016.515196	5914.484107
AB020652	123.0093555	11.40808142	269.8512122	33.87480386	18.56563567	28.07518945	41.22972417	26.47754822	1440.750581	1200.81307	395.5012637	93.11465821	425.0499733	989.6666334	95.17992831
AB020653	14.32067416	484.9914338	15.45609616	520.8001824	1350.828094	31.18915908	95.30382393	307.9881116	141.0284657	2883.465687	464.5145949	1625.53336	1733.50827	237.1963627	894.9313833
